"Ugxcx61RRKjTh6gnSVN4AaABAg","SidTalk","/channel/UCfgZg9Vl5AwedH14BYgLXTQ","https://yt3.ggpht.com/a/AATXAJwYMzFqDAgwcn7GH5y6bbiQ9gNj2jAf-iUMlA=s48-c-k-c0xffffffff-no-rj-mo","Ghuma Fira ke: Waha per kya RATE hai Petrol ka ?\nविडियो शेयर करना ना भूले !",1357,"1 year ago",1553016218391,false,true,"EkQSCzdxVHM5NXJvZTQ0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd4Y3g2MVJSS2pUaDZnblNWTjRBYUFCQWciAggAKhhVQ2ZnWmc5Vmw1QXdlZEgxNEJZZ0xYVFEyCzdxVHM5NXJvZTQ0QAFICg%3D%3D",288,,,,,,,,,
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0Rf5JbSr","Anvesh Verma","/channel/UCft9Cl8cbjdUssegmmxSWiw","https://yt3.ggpht.com/a/AATXAJx5uuV9_YguEWsgPyYZNPBQShjfanqSvPYqtQ=s32-c-k-c0xffffffff-no-rj-mo","✔",4,"1 year ago",1553016218810,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0UYZKbUv","chinmay Hardas","/channel/UCcivL6jXmxI8dbBHta0TtCg","https://yt3.ggpht.com/a/AATXAJxILy2PKyUaPRUVKau-TPovtKyoJhlcphL6Ng=s32-c-k-c0xffffffff-no-rj-mo","First",3,"1 year ago",1553016218811,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0WQ3hhbL","justinebiebervevo","/channel/UCxaZEbXgKI2gIGWWXCv0Xig","https://yt3.ggpht.com/a/AATXAJycbQVAYCZpIDTixwdIIhfxxuRcp4F-Pe2HKg=s32-c-k-c0xffffffff-no-rj-mo","SID TALK IS THE BESTEST CHANNEL ON YOUTUBE 🔥🔥🔥",18,"1 year ago",1553016218812,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0Zqh768t","Yogesh Kumar Singh","/channel/UChVIFBzGDlwcf325VJLGXqw","https://yt3.ggpht.com/a/AATXAJw4s1o3XARXi6RCniN04hPQTM_VLV9YfRRrkw=s32-c-k-c0xffffffff-no-rj-mo","SidTalk bilkul Siddhant bhaiya or Apne BHOPAL side is baary me jyada baaty Hoti hai",2,"1 year ago",1553016218812,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0fRy0mT-","jiven Singh","/channel/UCIRT5tVJR3_B_R6Qg2E9aqA","https://yt3.ggpht.com/a/AATXAJxfwMLx08S7Bc_w-1DryO-2JhiKHWKAGS00QA=s32-c-k-c0xffffffff-no-rj-mo","SidTalk 70",2,"1 year ago",1553016218813,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0tz2a4dA","chinmay Hardas","/channel/UCcivL6jXmxI8dbBHta0TtCg","https://yt3.ggpht.com/a/AATXAJxILy2PKyUaPRUVKau-TPovtKyoJhlcphL6Ng=s32-c-k-c0xffffffff-no-rj-mo","Nhi Milre paise😥..",3,"1 year ago",1553016218814,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0y8N1f9S","Iam Mz","/channel/UCGjL6UvJ_NtNxGggwlk7NSQ","https://yt3.ggpht.com/a/AATXAJyU8wBzQb_tM6_GeInmAdXEqSGSkG4ZPyRY4A=s32-c-k-c0xffffffff-no-rj-mo","₹87 in solapur, Maharashtra",8,"1 year ago",1553016218816,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn0zGJorh6","Tech in Hindi","/channel/UCbPPHHrIvVnWL5FRXXZl6MQ","https://yt3.ggpht.com/a/AATXAJzuXRCR6MzJOgwnW-7oFu9eUT-R6Uy3WszU6A=s32-c-k-c0xffffffff-no-rj-mo","78 in CG bilaspur",5,"1 year ago",1553016218817,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn10jU_iw-","AP Technical","/channel/UCF-5P39reqLQaf0rfOCSgJw","https://yt3.ggpht.com/a/AATXAJxrJuFsKsgwh4GWiJxeDJ75LRr72n0__c6O6w=s32-c-k-c0xffffffff-no-rj-mo","SidTalk Bhaiya mai Sanchi mai rahata hoo Yadi Sanchi Aao to mujhese milna jaroor",1,"1 year ago",1553016218818,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn1KUZDIBB","Tushar Grover","/channel/UCIdPwZ6DO2vrNHY1Bvn5Q6A","https://yt3.ggpht.com/a/AATXAJw0_nRrXtAx9tXXONXXMMM64VB_k1d_E7AnsQ=s32-c-k-c0xffffffff-no-rj-mo","SidTalk Rate toh pataa nahi par Video is Best :)",4,"1 year ago",1553016218820,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn1Tb1--nH","UNITRICKZ","/channel/UCCeJT-ptvBsfkiTSLPiqVcw","https://yt3.ggpht.com/a/AATXAJynMa8QvrvCuu4OxwdZSKq5FYynqGJB9iq-_w=s32-c-k-c0xffffffff-no-rj-mo","SidTalk, ASSAM ME FILHAL 81rs HAI",0,"1 year ago",1553016219757,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn1bzUOPyX","Rohan Shah","/channel/UCXbyYs0n4fPQI_QKqBT_HCQ","https://yt3.ggpht.com/a/AATXAJxAK6YR3Kl96fGDjso-QR4cM75xywuNq1IX1g=s32-c-k-c0xffffffff-no-rj-mo","SidTalk bhai aapki najar me sbse best news channel kon sa h",3,"1 year ago",1553016219758,false
,,,,,,,,,,,,"Ugxcx61RRKjTh6gnSVN4AaABAg.8gn0GG4wAWp8gn1jZMFnb7","Techno Tunes","/channel/UCHrrFMYqwEeOrgIbGm3qOZg","https://yt3.ggpht.com/a/AATXAJwgLinfeZwNXQ2ioDEQxpiG3Wyi-fhZmouRnQ=s32-c-k-c0xffffffff-no-rj-mo","SidTalk Awesome Video ! ☺",1,"1 year ago",1553016219759,false
