"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgzF5aSoAhyeyt5njO54AaABAg","Eddie De Leon","/channel/UCgSL_-GahKJjmgbtdfRwyPQ","https://yt3.ggpht.com/a/AATXAJzbDwP56RnrdWJYXCieyLcYsA9Cic9ANMdpOA=s48-c-k-c0xffffffff-no-rj-mo","nice informations Sir  ... my questions  ... since your video is more than 4 years now  ... what is the reading now in terms of AIR QUALITY and the TRAFFIC as well  ... if i am not mistaken some of factories there are producing by orders outside India or for EXPORT only now the WORLD ECONOMY is being written by SOMEONE UNSEEN  we are all passerby here ... thanks keep safe",0,"3 days ago",1584371362655,true,false,,,,,,,,,,,
"UgxcKm6MWo3yLzKn6jR4AaABAg","Santosh Rathod","/channel/UCO_vxwcT-1iuyyM6Ol5I40A","https://yt3.ggpht.com/a/AATXAJyIel_zIInzpyA0D_K4HHusdQbYKx7vyftGfw=s48-c-k-c0xffffffff-no-rj-mo","Diesel vehicle ban, industrial pollution control, only straight forward steps can save lives.",0,"1 week ago",1584025762658,false,false,,,,,,,,,,,
"UgyXIX_tMkmQcXBMsfF4AaABAg","Aleksander Ales","/channel/UC24WX8oJUFjRWePsbzCmJTg","https://yt3.ggpht.com/a/AATXAJwsXd1mJvlwV-H6zFiAP-e-K5cflfn6nkuj=s48-c-k-c0xffffffff-no-rj-mo","Que desastre el ser humano le está haciendo al pobre planeta no se porque Dios permite todo esto",0,"2 weeks ago",1583420962659,false,false,,,,,,,,,,,
"Ugwj-RBT9c8CLATfg4V4AaABAg","Raghavendra Deepak Dupuguntala","/channel/UCpgMAYnNhy2YtiTTuQEzmEg","https://yt3.ggpht.com/a/AATXAJyyU0zCRPw3XhvhlwxdkvIB4huTG2u9-zBq9A=s48-c-k-c0xffffffff-no-rj-mo","Please WhatsApp me on 9886317956 for your air purifier needs.",0,"1 month ago",1582124962660,false,false,,,,,,,,,,,
"UgxSNlNqmiwyA9GGwAV4AaABAg","Computational Craft","/channel/UCAPrCGJGURpgvNtuMLdrI_Q","https://yt3.ggpht.com/a/AATXAJxFlIQuyssZgpJ5TaIgc0TAEuw-n9y9dOdTcw=s48-c-k-c0xffffffff-no-rj-mo","Read reviews of the best Philips Air Purifiers - https://www.airpurifiersguru.com/philipsairpurifiers",0,"1 month ago",1582124962662,false,false,,,,,,,,,,,
"UgwU4wByOn0w0NSQEcR4AaABAg","Abdeljalil","/channel/UCWiu28HiEbBttEY9MPoXClQ","https://yt3.ggpht.com/a/AATXAJzp0KM74l0b8-pPC_IUtEdIwSaPckY0vpsRww=s48-c-k-c0xffffffff-no-rj-mo","Well  they have  a population growth problem, pollution  gonna  solve  the  problem",0,"1 month ago",1582124962663,false,false,,,,,,,,,,,
"Ugz25VQ6Kl2gxQx5I0Z4AaABAg","Adamantium Scorpion","/channel/UCIo9W57sRCd-BqulISxO8Fg","https://yt3.ggpht.com/a/AATXAJxvPJWbuplBWTg1JK91Zc_8tRUmSWQalSJFlA=s48-c-k-c0xffffffff-no-rj-mo","Better call Gretta!",0,"2 months ago",1579446562664,false,false,,,,,,,,,,,
"UgwGgIrm4ymx-CHgewR4AaABAg","Ladla Hussain","/channel/UCTNOU1QAp7SqvOWoQwk4qyw","https://yt3.ggpht.com/a/AATXAJwgCjg56IZyfl-SM_PbBEWBZWoP86JDUVRSUQ=s48-c-k-c0xffffffff-no-rj-mo","Wow nice love from Pakistan Islamabad",0,"2 months ago",1579446562665,false,false,,,,,,,,,,,
"Ugwdrv5GvlqYwxL5RFd4AaABAg","jutubaeh","/channel/UCF0KrRv0c5Ze9taTSNFZMnw","https://yt3.ggpht.com/a/AATXAJxiB_HsRLN4v2E2sdgAEMXynpDkIhvkCci5gw=s48-c-k-c0xffffffff-no-rj-mo","make electrön use aGäin ^^ \n\nwere still in phy€R aG€ xD",0,"2 months ago",1579446562666,true,false,,,,,,,,,,,
"UgzCVzKSyuiwcUuNarZ4AaABAg","pf t","/channel/UCZvaUEvi1qJLrNxde1pZu1w","https://yt3.ggpht.com/a/AATXAJyagIRPbap7XeZtaYQOp7d0c0SwC0XadXH0vQ=s48-c-k-c0xffffffff-no-rj-mo","跟中国比起来，你去中国看看哪里的空气污染，肺癌大爆发",0,"2 months ago",1579446562667,false,false,,,,,,,,,,,
